rest_name,rating,pro_offer,offer,del_time,category,cost_for_one,recent_orders_count
Kovai Royal Snacks,-,,,,"Desserts, Ice Cream, Fast Food",₹50 for one,Follows all Max Safety measures to ensure your food is safe
McCafe by McDonald's,4.0,,,,"Fast Food, Burger, Desserts, Beverages",₹50 for one,Follows all Max Safety measures to ensure your food is safe
Choco Drench Cafe,-,,,,"Cafe, Fast Food, Shake",₹50 for one,
Indian Barbeque Hut,-,,,,"BBQ, Fast Food",₹50 for one,
Ayyappa Tiffins,4.0,,10% OFF,,South Indian,₹50 for one,350+ orders placed from here recently
Akshara Tiffin Center,-,,,,South Indian,₹50 for one,
Dhina Fast Food,-,,,,Street Food,₹50 for one,
Ban Gohan Restaurant,4.2,,50% OFF,,"BBQ, Fast Food",₹200 for one,
Vegcrunchy,3.5,,,,Fast Food,₹200 for one,
Indiya Canteen,3.3,,50% OFF,,"South Indian, Beverages",₹200 for one,Follows all Max Safety measures to ensure your food is safe
Planet Paratha,-,,40% OFF,,North Indian,₹200 for one,Follows all Max Safety measures to ensure your food is safe
Mirchi Chaats,3.5,,,,Street Food,₹200 for one,250+ orders placed from here recently
Turkish Delight,4.0,,,,"Turkish, North Indian, Lebanese",₹200 for one,Follows all Max Safety measures to ensure your food is safe
My Nutri Foods,-,,,,Healthy Food,₹200 for one,
